entry,date_observed,year_observed,month_observed ,JulianDay_observed,county,region,firefly_count
103,6/19/2015,2015,6,170,Box elder,north,9
122,7/28/2015,2015,7,209,Box Elder,north,1
162,6/20/2016,2016,6,172,Box Elder,north,15
209,6/19/2017,2017,6,170,Box Elder,north,2
211,6/20/2017,2017,6,171,Box Elder,north,10
219,6/21/2017,2017,6,172,Box Elder,north,20
250,5/31/2018,2018,5,151,Box elder,north,1
258,6/1/2018,2018,6,152,Box Elder,north,15
362,6/12/2019,2019,6,163,Box Elder,north,25
451,6/27/2020,2020,6,179,Box Elder,north,50
462,7/6/2020,2020,7,188,Box Elder,north,3
519,6/21/2021,2021,6,172,Box Elder,north,30
598,6/17/2022,2022,6,168,Box elder,north,10
36,6/1/2015,2015,6,152,Box Elder,north,1
12,7/6/2014,2014,7,187,Box Elder,north,1
19,6/27/2014,2014,6,178,Box Elder,north,1
69,7/19/2014,2014,7,200,Box Elder,north,50
35,7/4/2014,2014,7,185,Box Elder,north,1
141,6/14/1996,1996,6,166,Box Elder,north,1
43,6/18/2014,2014,6,169,Box Elder,north,10
196,6/12/2024,2024,6,164,Box Elder,north,30
201,6/14/2024,2024,6,166,Box Elder,north,9
227,6/24/2024,2024,6,176,Box Elder,north,8
23,6/4/2014,2014,6,155,Cache,north,3
40,6/11/2015,2015,6,162,Cache,north,20
44,6/11/2015,2015,6,162,Cache,north,7
46,6/15/2015,2015,6,166,Cache,north,20
48,6/17/2015,2015,6,168,Cache,north,100
62,7/2/2015,2015,7,183,Cache,north,1
74,6/25/2015,2015,6,176,Cache,north,2
87,7/11/2015,2015,7,192,Cache,north,5
89,6/15/2015,2015,6,166,Cache,north,1
90,6/15/2015,2015,6,166,Cache,north,1
117,6/7/2015,2015,6,158,Cache,north,3
158,6/18/2016,2016,6,170,Cache,north,30
192,5/29/2017,2017,5,149,Cache,north,100
204,6/17/2017,2017,6,168,Cache,north,2
217,6/23/2017,2017,6,174,Cache,north,5
220,6/25/2017,2017,6,176,Cache,north,2
262,6/6/2018,2018,6,157,Cache,north,1
273,6/8/2018,2018,6,159,cache,north,4
293,6/13/2018,2018,6,164,Cache,north,5
367,6/15/2019,2019,6,166,Cache,north,3
372,6/18/2019,2019,6,169,Cache,north,1
377,6/22/2019,2019,6,173,Cache,north,1
438,6/20/2020,2020,6,172,Cache,north,2
448,6/23/2020,2020,6,175,Cache,north,1
455,6/25/2020,2020,6,177,Cache,north,3
467,7/2/2020,2020,7,184,Cache,north,2
469,5/30/2020,2020,5,151,Cache,north,3
509,6/16/2021,2021,6,167,Cache,north,10
515,6/18/2021,2021,6,169,Cache,north,4
535,6/27/2021,2021,6,178,Cache,north,15
537,6/24/2021,2021,6,175,Cache,north,2
538,6/24/2021,2021,6,175,Cache,north,1
607,6/10/2022,2022,6,161,Cache,north,10
620,7/3/2022,2022,7,184,Cache,north,1
653,7/1/2022,2022,7,182,Cache,north,3
655,7/5/2022,2022,7,186,Cache,north,7
100,5/1/2015,2015,5,121,Cache,north,1
443,6/21/2020,2020,6,173,Cache,north,21
317,6/26/2018,2018,6,177,Cache,north,4
144,5/29/2016,2016,5,150,Cache,north,32
146,6/1/2016,2016,6,153,Cache,north,40
312,6/22/2018,2018,6,173,Cache,north,5
460,7/4/2020,2020,7,186,Cache,north,1
