"loc_year_month","mosq_species","host_American_Robin","host_Black-billed_magpie","host_Black-capped_chickadee","host_Bullocks_oriole","host_California_quail","host_Chicken","host_Chilean_flamingo","host_Cliff_swallow","host_Common_starling","host_Coopers_hawk","host_Cow","host_Dog","host_Emu","host_Eurasian_collared_dove","host_European_quail","host_Flycatcher","host_Hermit_thrush","host_House_finch","host_House_sparrow","host_Human","host_Japanese_quail","host_Mourning_dove","host_Red-legged_seriama","host_Rock_dove","host_Sandhill_crane","host_Song_sparrow","host_Toco_Toucan","host_Western_kingbird","host_Western_meadowlark","host_Western_tanager","host_Yellow_warbler","pools_confirmed","pools_negative","loc_positives"
"site000_2018.08","Cx_pipiens_sl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
"site000_2018.08","Cx_tarsalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1
"site000_2018.09","Cx_pipiens_sl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"site000_2018.09","Cx_tarsalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"site000_2018.10","Cx_pipiens_sl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"site000_2019.09","Cx_pipiens_sl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"site000_2020.08","Cx_tarsalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"site000_2021.08","Cx_pipiens_sl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"site000_2021.08","Cx_tarsalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
"site000_2021.09","Cx_tarsalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"site001_2018.06","Cx_erythrothorax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"site001_2018.06","Cx_pipiens_sl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
