"loc_year_month","date.x","year.x","month.x","lat.x","long.x","loc_name.x","loc_code.x","mosq_species.x","host_species","host_common","host_method","BIOL3070_seqID","agency_pool_num","mosq_species.y","num_count","date.y","year.y","month.y","lat.y","long.y","loc_code.y","loc_name.y","test_status"
"site001_2020.07",20-07-09,2020,7,40.81566755,-111.9423211,"RAC Soccer",1,"Cx_pipiens_sl","Haemorhous_mexicanus","House_finch","NPS.BWAmem.2024","",53,"Cx_tarsalis",100,2020-07-09,2020,7,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2020.07",20-07-09,2020,7,40.81566755,-111.9423211,"RAC Soccer",1,"Cx_pipiens_sl","Haemorhous_mexicanus","House_finch","NPS.BWAmem.2024","",119,"Cx_tarsalis",100,2020-07-14,2020,7,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2020.07",20-07-09,2020,7,40.81566755,-111.9423211,"RAC Soccer",1,"Cx_pipiens_sl","Haemorhous_mexicanus","House_finch","NPS.BWAmem.2024","",120,"Cx_tarsalis",100,2020-07-14,2020,7,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2020.07",20-07-09,2020,7,40.81566755,-111.9423211,"RAC Soccer",1,"Cx_pipiens_sl","Haemorhous_mexicanus","House_finch","NPS.BWAmem.2024","",261,"Cx_tarsalis",100,2020-07-30,2020,7,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2020.07",20-07-09,2020,7,40.81566755,-111.9423211,"RAC Soccer",1,"Cx_pipiens_sl","Haemorhous_mexicanus","House_finch","NPS.BWAmem.2024","",52,"Cx_tarsalis",100,2020-07-09,2020,7,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2020.07",20-07-09,2020,7,40.81566755,-111.9423211,"RAC Soccer",1,"Cx_pipiens_sl","Haemorhous_mexicanus","House_finch","NPS.BWAmem.2024","",260,"Cx_tarsalis",100,2020-07-30,2020,7,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2020.07",20-07-09,2020,7,40.81566755,-111.9423211,"RAC Soccer",1,"Cx_pipiens_sl","Haemorhous_mexicanus","House_finch","NPS.BWAmem.2024","",259,"Cx_pipiens_sl",58,2020-07-30,2020,7,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2020.07",20-07-01,2020,7,40.81566755,-111.9423211,"RAC Soccer",1,"Cx_pipiens_sl","Turdus_migratorius","American_Robin","SPAdes","SQ145",53,"Cx_tarsalis",100,2020-07-09,2020,7,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2020.07",20-07-01,2020,7,40.81566755,-111.9423211,"RAC Soccer",1,"Cx_pipiens_sl","Turdus_migratorius","American_Robin","SPAdes","SQ145",119,"Cx_tarsalis",100,2020-07-14,2020,7,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2020.07",20-07-01,2020,7,40.81566755,-111.9423211,"RAC Soccer",1,"Cx_pipiens_sl","Turdus_migratorius","American_Robin","SPAdes","SQ145",120,"Cx_tarsalis",100,2020-07-14,2020,7,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2020.07",20-07-01,2020,7,40.81566755,-111.9423211,"RAC Soccer",1,"Cx_pipiens_sl","Turdus_migratorius","American_Robin","SPAdes","SQ145",261,"Cx_tarsalis",100,2020-07-30,2020,7,-111.942333,40.815674,1,"RAC Soccer","Negative"
