"loc_year_month","mosq_species","date.x","year.x","month.x","lat.x","long.x","loc_name.x","loc_code.x","host_species","host_common","host_method","BIOL3070_seqID","agency_pool_num","num_count","date.y","year.y","month.y","lat.y","long.y","loc_code.y","loc_name.y","test_status"
"site001_2020.07","Cx_pipiens_sl",20-07-01,2020,7,40.81566755,-111.9423211,"RAC Soccer",1,"Turdus_migratorius","American_Robin","SPAdes","SQ145",259,58,2020-07-30,2020,7,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2020.07","Cx_pipiens_sl",20-07-09,2020,7,40.81566755,-111.9423211,"RAC Soccer",1,"Haemorhous_mexicanus","House_finch","NPS.BWAmem.2024","",259,58,2020-07-30,2020,7,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2021.08","Cx_pipiens_sl",21-08-19,2021,8,40.81566755,-111.9423211,"RAC Soccer",1,"Turdus_migratorius","American_Robin","SPAdes","SQ037",837,49,2021-08-24,2021,8,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2021.08","Cx_pipiens_sl",21-08-19,2021,8,40.81566755,-111.9423211,"RAC Soccer",1,"Turdus_migratorius","American_Robin","SPAdes","SQ037",641,64,2021-08-10,2021,8,-111.942333,40.815674,1,"RAC Soccer","Confirmed"
"site001_2021.08","Cx_pipiens_sl",21-08-19,2021,8,40.81566755,-111.9423211,"RAC Soccer",1,"Turdus_migratorius","American_Robin","SPAdes","SQ037",760,54,2021-08-17,2021,8,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site001_2021.08","Cx_pipiens_sl",21-08-19,2021,8,40.81566755,-111.9423211,"RAC Soccer",1,"Turdus_migratorius","American_Robin","SPAdes","SQ037",547,93,2021-08-04,2021,8,-111.942333,40.815674,1,"RAC Soccer","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Podiceps_nigricollis","Black-necked_Greeb","NPS.SPAdes.2030","",125,24,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Podiceps_nigricollis","Black-necked_Greeb","NPS.SPAdes.2030","",129,100,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Podiceps_nigricollis","Black-necked_Greeb","NPS.SPAdes.2030","",240,100,2020-07-30,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Podiceps_nigricollis","Black-necked_Greeb","NPS.SPAdes.2030","",128,69,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Podiceps_nigricollis","Black-necked_Greeb","NPS.SPAdes.2030","",68,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Podiceps_nigricollis","Black-necked_Greeb","NPS.SPAdes.2030","",69,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Podiceps_nigricollis","Black-necked_Greeb","NPS.SPAdes.2030","",4,100,2020-07-07,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Podiceps_nigricollis","Black-necked_Greeb","NPS.SPAdes.2030","",241,100,2020-07-30,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Haemorhous_mexicanus","House_finch","SPAdes","SQ159",125,24,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Haemorhous_mexicanus","House_finch","SPAdes","SQ159",129,100,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Haemorhous_mexicanus","House_finch","SPAdes","SQ159",240,100,2020-07-30,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Haemorhous_mexicanus","House_finch","SPAdes","SQ159",128,69,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Haemorhous_mexicanus","House_finch","SPAdes","SQ159",68,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Haemorhous_mexicanus","House_finch","SPAdes","SQ159",69,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Haemorhous_mexicanus","House_finch","SPAdes","SQ159",4,100,2020-07-07,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Haemorhous_mexicanus","House_finch","SPAdes","SQ159",241,100,2020-07-30,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Gallus_gallus","Chicken","SPAdes","SQ158",125,24,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Gallus_gallus","Chicken","SPAdes","SQ158",129,100,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Gallus_gallus","Chicken","SPAdes","SQ158",240,100,2020-07-30,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Gallus_gallus","Chicken","SPAdes","SQ158",128,69,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Gallus_gallus","Chicken","SPAdes","SQ158",68,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Gallus_gallus","Chicken","SPAdes","SQ158",69,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Gallus_gallus","Chicken","SPAdes","SQ158",4,100,2020-07-07,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Gallus_gallus","Chicken","SPAdes","SQ158",241,100,2020-07-30,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Buteo_swainsoni","Swainsons_hawk","SPAdes","SQ054",125,24,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Buteo_swainsoni","Swainsons_hawk","SPAdes","SQ054",129,100,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Buteo_swainsoni","Swainsons_hawk","SPAdes","SQ054",240,100,2020-07-30,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Buteo_swainsoni","Swainsons_hawk","SPAdes","SQ054",128,69,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Buteo_swainsoni","Swainsons_hawk","SPAdes","SQ054",68,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Buteo_swainsoni","Swainsons_hawk","SPAdes","SQ054",69,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Buteo_swainsoni","Swainsons_hawk","SPAdes","SQ054",4,100,2020-07-07,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Buteo_swainsoni","Swainsons_hawk","SPAdes","SQ054",241,100,2020-07-30,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",125,24,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",129,100,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",240,100,2020-07-30,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",128,69,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",68,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",69,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",4,100,2020-07-07,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
